,,Deprecated,Preview,Reactions,Raw,Cached,Scopes,SNI,,,,HTTP Code,array of arrays,"array of hashrefs, paged",hash ref,Empty body,Array ref,authenticated user,Location,Sends array,params,
Repositories,Protected Branches,,,,,,,,Remove branch protection,,,,,,,,,,,,,application/vnd.github.loki-preview+json
Repositories,Protected Branches,,,,,,,,Get required status checks of protected branch,,,,,,,,,,,,,application/vnd.github.loki-preview+json
Repositories,Protected Branches,,,,,,,,Update required status checks of protected branch,PATCH,/repos/:owner/:repo/branches/:branch/protection/required_status_checks,200,,,x,,,,,,,application/vnd.github.loki-preview+json
Repositories,Protected Branches,,,,,,,,Remove required status checks of protected branch,DELETE,/repos/:owner/:repo/branches/:branch/protection/required_status_checks,204,,,,x,,,,,,application/vnd.github.loki-preview+json
Repositories,Protected Branches,,,,,,,,List required status checks contexts of protected branch,GET,/repos/:owner/:repo/branches/:branch/protection/required_status_checks/contexts,200,,,,,x,,,,,application/vnd.github.loki-preview+json
Repositories,Protected Branches,,,,,,,,Replace required status checks contexts of protected branch,PUT,/repos/:owner/:repo/branches/:branch/protection/required_status_checks/contexts,200,,,,,x,,,x,,application/vnd.github.loki-preview+json
Repositories,Protected Branches,,,,,,,,Add required status checks contexts of protected branch,POST,/repos/:owner/:repo/branches/:branch/protection/required_status_checks/contexts,200,,,,,x,,,x,,application/vnd.github.loki-preview+json
Repositories,Protected Branches,,,,,,,,Remove required status checks contexts of protected branch,DELETE,/repos/:owner/:repo/branches/:branch/protection/required_status_checks/contexts,200,,,,,x,,,x,,application/vnd.github.loki-preview+json
Repositories,Protected Branches,,,,,,,,Get restrictions of protected branch,GET,/repos/:owner/:repo/branches/:branch/protection/restrictions,200,,,x,,,,,,,application/vnd.github.loki-preview+json
Repositories,Protected Branches,,,,,,,,Remove restrictions of protected branch,DELETE,/repos/:owner/:repo/branches/:branch/protection/restrictions,204,,,,x,,,,x,,application/vnd.github.loki-preview+json
Repositories,Protected Branches,,,,,,,,List team restrictions of protected branch,GET,/repos/:owner/:repo/branches/:branch/protection/restrictions/teams,200,,x,,,,,,,,application/vnd.github.loki-preview+json
Repositories,Protected Branches,,,,,,,,Replace team restrictions of protected branch,PUT,/repos/:owner/:repo/branches/:branch/protection/restrictions/teams,200,,x,,,,,,x,,application/vnd.github.loki-preview+json
Repositories,Protected Branches,,,,,,,,Add team restrictions of protected branch,POST,/repos/:owner/:repo/branches/:branch/protection/restrictions/teams,200,,x,,,,,,x,,application/vnd.github.loki-preview+json
Repositories,Protected Branches,,,,,,,,Remove team restrictions of protected branch,DELETE,/repos/:owner/:repo/branches/:branch/protection/restrictions/teams,200,,x,,,,,,x,,application/vnd.github.loki-preview+json
Repositories,Protected Branches,,,,,,,,List user restrictions of protected branch,GET,/repos/:owner/:repo/branches/:branch/protection/restrictions/users,200,,x,,,,,,,,application/vnd.github.loki-preview+json
Repositories,Protected Branches,,,,,,,,Replace user restrictions of protected branch,PUT,/repos/:owner/:repo/branches/:branch/protection/restrictions/users,200,,x,,,,,,x,,application/vnd.github.loki-preview+json
Repositories,Protected Branches,,,,,,,,Add user restrictions of protected branch,POST,/repos/:owner/:repo/branches/:branch/protection/restrictions/users,200,,x,,,,,,x,,application/vnd.github.loki-preview+json
Repositories,Protected Branches,,,,,,,,Remove user restrictions of protected branch,DELETE, /repos/:owner/:repo/branches/:branch/protection/restrictions/users,200,,x,,,,,,x,,application/vnd.github.loki-preview+json
Repositories,Collaborators,,,,,,,,List collaborators,GET,/repos/:owner/:repo/collaborators,200,,x,,,,,,,,
Repositories,Collaborators,,,,,,,,Check if a user is a collaborator,GET,/repos/:owner/:repo/collaborators/:username,"204, 404",,,,x,,,,,,
Repositories,Collaborators,,,,,,,,Add user as a collaborator,PUT,/repos/:owner/:repo/collaborators/:username,"201,204",,,x,,,,,,"permission={pull, push*,admin} for orgs only",application/vnd.github.swamp-thing-preview+json
Repositories,Collaborators,,,,,,,,Remove user as a collaborator,DELETE,/repos/:owner/:repo/collaborators/:username,204,,,,x,,,,,,
Repositories,Comments,,,,,,,,List commit comments for a repository,GET,/repos/:owner/:repo/comments,200,,x,,,,,,,,"application/vnd.github.VERSION.{raw,text,html,full}+json,  application/vnd.github.squirrel-girl-preview"
Repositories,Comments,,,,,,,,List comments for a single commit,GET,/repos/:owner/:repo/commits/:ref/comments,200,,x,,,,,,,,"application/vnd.github.VERSION.{raw,text,html,full}+json,  application/vnd.github.squirrel-girl-preview"
Repositories,Comments,,,,,,,,Create a commit comment,POST,/repos/:owner/:repo/commits/:sha/comments,201,,,x,,,,x,,,"application/vnd.github.VERSION.{raw,text,html,full}+json"
Repositories,Comments,,,,,,,,Get a single commit comment,GET,/repos/:owner/:repo/comments/:id,200,,,x,,,,,,,"application/vnd.github.VERSION.{raw,text,html,full}+json,  application/vnd.github.squirrel-girl-preview"
Repositories,Comments,,,,,,,,Update a commit comment,PATCH,/repos/:owner/:repo/comments/:id,200,,,x,,,,,,body=S,"application/vnd.github.VERSION.{raw,text,html,full}+json"
Repositories,Comments,,,,,,,,Delete a commit comment,DELETE,/repos/:owner/:repo/comments/:id,204,,,,x,,,,,,"application/vnd.github.VERSION.{raw,text,html,full}+json"
Repositories,Commits,,,,,,,,List commits on a repository,GET,/repos/:owner/:repo/commits,200,,x,,,,,,,"sha=SHA1,path=S,author=S,since=ISO8601,until=ISO8601",
Repositories,Commits,,,,,,,,Get a single commit,GET,/repos/:owner/:repo/commits/:sha,200,,x,,,,,,,,
Repositories,Commits,,,,,,,,Get the SHA-1 of a commit reference,GET,/repos/:owner/:repo/commits/:ref,200,,,,,,,,,,application/vnd.github.VERSION.sha
Repositories,Commits,,,,,,,,Compare two commits,GET,/repos/:owner/:repo/compare/:base...:head,200,,,x,,,,,,,"diff, patch types,"
Repositories,Commits,,,,,,,,Commit signature verification,GET,/repos/:owner/:repo/commits/:sha,200,,,x,,,,,,,application/vnd.github.cryptographer-preview
Repositories,Contents,,,,,,,,Get the README,GET,/repos/:owner/:repo/readme,200,,,x,,,,,,ref=S,"application/vnd.github.VERSION.{raw,html,object}+json"
Repositories,Contents,,,,,,,,Get contents,GET,/repos/:owner/:repo/contents/:path,200,,x (dir),x,,,,,,"path=S,ref=S","application/vnd.github.VERSION.{raw,html,object}+json"
Repositories,Contents,,,,,,,,Create a file,PUT,/repos/:owner/:repo/contents/:path,201,,,x,,,,,,"path*=S,message*=S,content*=S,branch*=S (master*),committer:name,email, author=name,email","application/vnd.github.VERSION.{raw,html,object}+json"
Repositories,Contents,,,,,,,,Update a file,PUT,/repos/:owner/:repo/contents/:path,200,,,x,,,,,,,"application/vnd.github.VERSION.{raw,html,object}+json"
Repositories,Contents,,,,,,,,Delete a file,DELETE,/repos/:owner/:repo/contents/:path,200,,,x,,,,,,,"application/vnd.github.VERSION.{raw,html,object}+json"
Repositories,Contents,,,,,,,,Get archive link,GET,/repos/:owner/:repo/:archive_format/:ref,302,,,,,,,x,,,"application/vnd.github.VERSION.{raw,html,object}+json"
Repositories,Deploy Keys,,,,,,,,List deploy keys,GET,/repos/:owner/:repo/keys,200,,x,,,,,,,,
Repositories,Deploy Keys,,,,,,,,Get a deploy key,GET,/repos/:owner/:repo/keys/:id,200,,,x,,,,,,,
Repositories,Deploy Keys,,,,,,,,Add a new deploy key,POST,/repos/:owner/:repo/keys,201,,,,,,,x,,"title=S, key=S, read_only=B",
Repositories,Deploy Keys,,,,,,,,Remove a deploy key,DELETE,/repos/:owner/:repo/keys/:id,204,,,,x,,,,,,
Repositories,Deployments,,,,,,,,List Deployments,GET,/repos/:owner/:repo/deployments,200,,x,,,,,,,,
Repositories,Deployments,,,,,,,,Create a Deployment,POST,/repos/:owner/:repo/deployments,"201, 409",,,x,,,,,,lots of stuff,application/vnd.github.ant-man-preview+json
Repositories,Deployments,,,,,,,,List Deployment Statuses,GET,/repos/:owner/:repo/deployments/:id/statuses,200,,x,,,,,,,id*=I,
Repositories,Deployments,,,,,,,,Create a Deployment Status,POST,/repos/:owner/:repo/deployments/:id/statuses,201,,,x,,,,,,,application/vnd.github.ant-man-preview+json
Repositories,Downloads,x,,,,,,,List downloads for a repository,GET,/repos/:owner/:repo/downloads,200,,x,,,,,,,,
Repositories,Downloads,x,,,,,,,Get a single download,GET,/repos/:owner/:repo/downloads/:id,200,,,x,,,,,,,
Repositories,Downloads,x,,,,,,,Delete a download,DELETE,/repos/:owner/:repo/downloads/:id,204,,,,x,,,,,,
Repositories,Forks,,,,,,,,List forks,GET,/repos/:owner/:repo/forks,200,,x,,,,,,,"sort={newest*,oldest, stargazers}",
Repositories,Forks,,,,,,,,Create a fork,POST,/repos/:owner/:repo/forks,202,,,x,,,,,,organization=S,
Repositories,Invitations,,x,,,,,,List invitations for a repository,GET,/repositories/:repo_id/invitations,200,,x,,,,,,,,application/vnd.github.swamp-thing-preview+json
Repositories,Invitations,,x,,,,,,Delete a repository invitation,DELETE,/repositories/:repo_id/invitations/:invitation_id,204,,,,x,,,,,,application/vnd.github.swamp-thing-preview+json
Repositories,Invitations,,x,,,,,,Update a repository invitation,PATCH,/repositories/:repo_id/invitations/:invitation_id,200,,,x,,,,,,"permissions={read,write,admin}",application/vnd.github.swamp-thing-preview+json
Repositories,Invitations,,x,,,,,,List a user's repository invitations,GET,/user/repository_invitations,200,,x,,,,,,,,application/vnd.github.swamp-thing-preview+json
Repositories,Invitations,,x,,,,,,Accept a repository invitation,PATCH,/user/repository_invitations/:invitation_id,204,,,,x,,,,,,application/vnd.github.swamp-thing-preview+json
Repositories,Invitations,,x,,,,,,Decline a repository invitation,DELETE,/user/repository_invitations/:invitation_id,204,,,,x,,,,,,application/vnd.github.swamp-thing-preview+json
Repositories,Merging,,,,,,,,Perform a merge,POST,/repos/:owner/:repo/merges,"201,204,409,404",,,x,,,,,,,
Repositories,Pages,,,,,,,,Get information about a Pages site,GET,/repos/:owner/:repo/pages,200,,,x,,,,,,,application/vnd.github.mister-fantastic-preview+json
Repositories,Pages,,,,,,,,Request a page build,POST,/repos/:owner/:repo/pages/builds,200,,,x,,,,,,,application/vnd.github.mister-fantastic-preview+json
Repositories,Pages,,,,,,,,List Pages builds,GET,/repos/:owner/:repo/pages/builds,200,,x,,,,,,,,application/vnd.github.mister-fantastic-preview+json
Repositories,Pages,,,,,,,,List latest Pages build,GET,/repos/:owner/:repo/pages/builds/latest,200,,,x,,,,,,,application/vnd.github.mister-fantastic-preview+json
Repositories,Pages,,,,,,,,List a specific Pages build,GET,/repos/:owner/:repo/pages/builds/:id,200,,x,,,,,,,,application/vnd.github.mister-fantastic-preview+json
Repositories,Projects,,x,,,,,,List projects,GET,/repos/:owner/:repo/projects,200,,x,,,,,,,,application/vnd.github.inertia-preview+json
Repositories,Projects,,x,,,,,,Get a project,GET,/repos/:owner/:repo/projects/:number,200,,x,,,,,,,,application/vnd.github.inertia-preview+json
Repositories,Projects,,x,,,,,,Create a project,POST,/repos/:owner/:repo/projects,201,,,x,,,,,,"name*=S, body=S",application/vnd.github.inertia-preview+json
Repositories,Projects,,x,,,,,,Update a project,PATCH,/repos/:owner/:repo/projects/:number,200,,,x,,,,,,"name=S, body=S",application/vnd.github.inertia-preview+json
Repositories,Projects,,x,,,,,,Delete a project,DELETE,/repos/:owner/:repo/projects/:number,204,,,,x,,,,,,application/vnd.github.inertia-preview+json
Repositories,Projects,,x,,,,,,List columns,GET,/repos/:owner/:repo/projects/:project_number/columns,200,,x,,,,,,,,application/vnd.github.inertia-preview+json
Repositories,Projects,,x,,,,,,Get a column,GET,/repos/:owner/:repo/projects/columns/:id,200,,,x,,,,,,,application/vnd.github.inertia-preview+json
Repositories,Projects,,x,,,,,,Create a column,POST,/repos/:owner/:repo/projects/:project_number/columns,200,,,x,,,,,,name*=S,application/vnd.github.inertia-preview+json
Repositories,Projects,,x,,,,,,Update a column,PATCH,/repos/:owner/:repo/projects/columns/:id,200,,,x,,,,,,name*=S,application/vnd.github.inertia-preview+json
Repositories,Projects,,x,,,,,,Delete a column,DELETE,/repos/:owner/:repo/projects/columns/:id,204,,,x,,,,,,,application/vnd.github.inertia-preview+json
Repositories,Projects,,x,,,,,,Move a column,POST,/repos/:owner/:repo/projects/columns/:id/moves,201,,,,x,,,,,"position={first,last,after:id}",application/vnd.github.inertia-preview+json
Repositories,Projects,,x,,,,,,List projects cards,GET,/repos/:owner/:repo/projects/columns/:column_id/cards,200,,x,,,,,,,,application/vnd.github.inertia-preview+json
Repositories,Projects,,x,,,,,,Get a project card,GET,/repos/:owner/:repo/projects/columns/cards/:id,200,,,x,,,,,,,application/vnd.github.inertia-preview+json
Repositories,Projects,,x,,,,,,Create a project card,POST,/repos/:owner/:repo/projects/columns/:column_id/cards,200,,,x,,,,,,"name=S,content_id=I,content_type={Issue,PullRequest}",application/vnd.github.inertia-preview+json
Repositories,Projects,,x,,,,,,Update a project card,PATCH,/repos/:owner/:repo/projects/columns/cards/:id,200,,,x,,,,,,note=S,application/vnd.github.inertia-preview+json
Repositories,Projects,,x,,,,,,Delete a project card,DELETE,/repos/:owner/:repo/projects/columns/cards/:id,204,,,,x,,,,,,application/vnd.github.inertia-preview+json
Repositories,Projects,,x,,,,,,Move a project card,POST,/repos/:owner/:repo/projects/columns/cards/:id/moves,201,,,,x,,,,,"position={top,bottom,after:id},column_id",application/vnd.github.inertia-preview+json
Repositories,Releases,,,,,,,,List releases for a repository,GET,/repos/:owner/:repo/releases,200,,x,,,,,,,,
Repositories,Releases,,,,,,,,Get a single release,GET,/repos/:owner/:repo/releases/:id,200,,,x,,,,,,,
Repositories,Releases,,,,,,,,Get the latest release,GET,/repos/:owner/:repo/releases/latest,200,,,x,,,,,,,
Repositories,Releases,,,,,,,,Get a release by tag name,GET,/repos/:owner/:repo/releases/tags/:tag,200,,,x,,,,,,,
Repositories,Releases,,,,,,push access,,Create a release,POST,POST /repos/:owner/:repo/releases,201,,,x,,,,x,,,
Repositories,Releases,,,,,,push access,,Edit a release,PATCH,/repos/:owner/:repo/releases/:id,200,,,x,,,,,,,
Repositories,Releases,,,,,,push access,,Delete a release,DELETE,/repos/:owner/:repo/releases/:id,204,,,,x,,,,,,
Repositories,Releases,,,,,,,,List assets for a release,GET,/repos/:owner/:repo/releases/:id/assets,200,,x,,,,,,,,
Repositories,Releases,,,,,,,x,Upload a release asset,POST,/repos/:owner/:repo/releases/:id/assets?name=foo.zip,201,,,x,,,,,,,
Repositories,Releases,,,,,,,,Get a single release asset,GET,/repos/:owner/:repo/releases/assets/:id,200,,,x,,,,,,,application/octet-stream for binary
Repositories,Releases,,,,,,,,Edit a release asset,PATCH,/repos/:owner/:repo/releases/assets/:id,200,,,x,,,,,,"name=S,label=S",
Repositories,Releases,,,,,,,,Delete a release asset,DELETE,/repos/:owner/:repo/releases/assets/:id,204,,,x,,,,,,,
Repositories,Statistics,,,,,,,,"Get contributors list with additions, deletions, and commit counts",GET,/repos/:owner/:repo/stats/contributors,200,,,x,,,,,,,
Repositories,Statistics,,,,,,,,Get the last year of commit activity data,GET,/repos/:owner/:repo/stats/commit_activity,200,,,x,,,,,,,
Repositories,Statistics,,,,,,,,Get the number of additions and deletions per week,GET,/repos/:owner/:repo/stats/code_frequency,200,,x,,,,,,,,
Repositories,Statistics,,,,,,,,Get the weekly commit count for the repository owner and everyone else,GET,/repos/:owner/:repo/stats/participation,200,,,x,,,,,,,
Repositories,Statistics,,,,,,,,Get the number of commits per hour in each day,GET,/repos/:owner/:repo/stats/punch_card,200,,x,,,,,,,,
Repositories,Statuses,,,,,,,,Create a Status,POST,/repos/:owner/:repo/statuses/:sha,201,,,,,,,x,,,
Repositories,Statuses,,,,,,,,List Statuses for a specific Ref,GET,/repos/:owner/:repo/commits/:ref/statuses,200,,x,,,,,,,,ref=S
Repositories,Statuses,,,,,,,,Get the combined Status for a specific Ref,GET,/repos/:owner/:repo/commits/:ref/status,200,,,x,,,,,,ref=string,
Repositories,Traffic,,x,,,,,,List referrers,GET,/repos/:owner/:repo/traffic/popular/referrers,200,,x,,,,,,,,application/vnd.github.spiderman-preview
Repositories,Traffic,,x,,,,,,List paths,GET,/repos/:owner/:repo/traffic/popular/paths,200,,x,,,,,,,,
Repositories,Traffic,,x,,,,,,Views,GET,/repos/:owner/:repo/traffic/views,200,,,x,,,,,,"per={day*,week}",
Repositories,Traffic,,x,,,,,,Clones,GET,/repos/:owner/:repo/traffic/clones,200,,,x,,,,,,"per={day*,week}",
Repositories,Webhooks,,,,,,,,List hooks,GET,/repos/:owner/:repo/hooks,200,,x,,,,,,,,
Repositories,Webhooks,,,,,,,,Get single hook,GET,/repos/:owner/:repo/hooks/:id,200,,,x,,,,,,,
Repositories,Webhooks,,,,,,,,Create a hook,POST,/repos/:owner/:repo/hooks,200,,,,,,,,,,
Repositories,Webhooks,,,,,,,,Edit a hook,PATCH,/repos/:owner/:repo/hooks/:id,200,,,x,,,,,,lots of stuff,
Repositories,Webhooks,,,,,,,,Test a push hook,POST,/repos/:owner/:repo/hooks/:id/tests,204,,,,x,,,,,,
Repositories,Webhooks,,,,,,,,Ping a hook,POST,/repos/:owner/:repo/hooks/:id/pings,204,,,,x,,,,,,
Repositories,Webhooks,,,,,,,,Delete a hook,DELETE,/repos/:owner/:repo/hooks/:id,204,,,,x,,,,,,
Search,Repositories,,,,,,,,Search repositories,GET,/search/repositories,,,,,,,,,,"q=, sort={stars,forks, updated},order={desc*,asc}",application/vnd.github.v3.text-match+json
Search,Code,,,,,,,,Search code,GET,/search/code,,,,,,,,,,"q=, sort=indexed, order={asc,desc*}",application/vnd.github.v3.text-match+json
Search,Issues,,,,,,,,Search issues,GET,/search/issues,,,,,,,,,,"q=, sort={comments, created, updated}, order={asc,desc*}",application/vnd.github.v3.text-match+json
Search,Users,,,,,,,,Search users,GET,/search/users,,,,,,,,,,"q=, sort={followers, repositories, joined}, sort={asc, desc*}",application/vnd.github.v3.text-match+json
Users,,,,,,,,,Get a single user,GET,/users/:username,200,,,x,,,,,,,
Users,,,,,,,,,Get the authenticated user,GET,/user,200,,,x,,,x,,,,
Users,,,,,,,,,Update the authenticated user,PATCH,/user,200,,,x,,,,,,"name=S,email=S,blog=S,company=S,location=S,hireable=B,bio=S",
Users,,,,,,,,,Get all users,GET,/users,200,,x,,,,,,,,
Users,Emails,,,,,,,,List email addresses for a user,GET,/user/emails,200,,x,,,,x,,,,
Users,Emails,,,,,,,,Add email address(es),POST,/user/emails,201,,x,,,,x,,,array of strings,
Users,Emails,,,,,,,,Delete email address(es),DELETE,/user/emails,204,,,,x,,x,,,array of strings,
Users,Followers,,,,,,,,List followers of a user,GET,/users/:username/followers,200,,x,,,,,,,,
Users,Followers,,,,,,,,List the authenticated user's followers,GET,/user/followers,200,,x,,,,x,,,,
Users,Followers,,,,,,,,List users followed by another user,GET,/users/:username/following,200,,,,,,,,,,
Users,Followers,,,,,,,,List who the authenticated user is following,GET,/user/following,200,,,,,,x,,,,
Users,Followers,,,,,,,,Check if you are following a user,GET,/user/following/:username,"204, 404",,,,x,,,,,,
Users,Followers,,,,,,,,Check if one user follows another,GET,/users/:username/following/:target_user,"204, 404",,,,x,,,,,,
Users,Followers,,,,,,user:follow,,Follow a user,PUT,/user/following/:username,204,,,,x,,,,,,
Users,Followers,,,,,,user:follow,,Unfollow a user,DELETE,/user/following/:username,204,,,,x,,,,,,
Users,Git SSH Keys,,,,,,,,List public keys for a user,GET,/users/:username/keys,200,,x,,,,,,,,
Users,Git SSH Keys,,,,,,read:public_key,,List your public keys,GET,/user/keys,200,,x,,,,x,,,,
Users,Git SSH Keys,,,,,,read:public_key,,Get a single public key,GET,/user/keys/:id,200,,,x,,,x,,,,
Users,Git SSH Keys,,,,,,write:public_key,,Create a public key,POST,/user/keys,201,,,x,,,x,x,,"title=S, key=S",
Users,Git SSH Keys,,,,,,admin:public_key,,Delete a public key,DELETE,/user/keys/:id,204,,,,x,,x,,,,
Users,GPG Keys,,x,,,,read:gpg_key ,,List your GPG keys,GET,/user/gpg_keys,200,,x,,,,x,,,,
Users,GPG Keys,,,,,,read:gpg_key ,,Get a single GPG key,GET,/user/gpg_keys/:id,200,,,x,,,x,,,,
Users,GPG Keys,,,,,,write:gpg_key,,Create a GPG key,POST,/user/gpg_keys,201,,,,,,x,x,,armored_public_key,
Users,GPG Keys,,,,,,write:gpg_key,,Delete a GPG key,DELETE,/user/gpg_keys/:id,204,,,,x,,x,,,,
Users,Administration (Enterprise),,,,,,,,,,,,,,,,,,,,,
Enterprise,Admin Stats,,,,,,,,,,,,,,,,,,,,,
,LDAP,,,,,,,,,,,,,,,,,,,,,
,License,,,,,,,,,,,,,,,,,,,,,
,Management Console,,,,,,,,,,,,,,,,,,,,,
,Pre-receive Environments,,,,,,,,,,,,,,,,,,,,,
,Pre-receive Hooks,,,,,,,,,,,,,,,,,,,,,
,Search Indexing,,,,,,,,,,,,,,,,,,,,,
,Organization Administration,,,,,,,,,,,,,,,,,,,,,